ID,name,email,password,Birthday,subscription,pic Path,my Classes list
usr-0,youssif,you,5523,2005/2,1 month!07/25/2023!1,accPic/usr-0.jpg,class-1
usr-1,alsayed,sayed@gmail0com,88997,1967,3 month!07/25/2023!1,null,
M1001,salma,s@.com,1,8/23/1964,3 month!04/30/2025!0,null,
M1002,yasmin,y@.com,1,8/23/1964,6 month!04/30/2025!0,null,
M1003,yasmeen,y1@.com,1,8/23/1964,1 month!04/5/2025!0,null,
M1004,ahmed,ahmed@example.com,1234,1990/01/15,1 month!04/01/2025!1,accPic/M1004.jpg,class-2!class-4
M1005,mohamed,mohamed@example.com,5678,1985/03/10,3 month!04/10/2025!1,accPic/M1005.jpg,class-1
M1006,eman,eman@example.com,1111,1992/06/20,1 month!04/20/2025!0,null,class-3
M1007,mostafa,mostafa@example.com,2222,1994/09/12,6 month!03/30/2025!1,accPic/M1007.jpg,
M1008,laila,laila@example.com,3333,2000/11/22,3 month!05/02/2025!1,null,class-2;class-5
M1009,omar,omar@example.com,4444,1998/05/06,1 month!05/04/2025!0,null,
M1010,hassan,hassan@example.com,5555,1991/12/01,6 month!02/25/2025!1,accPic/M1010.jpg,class-6
M1011,farida,farida@example.com,6666,1996/04/14,3 month!04/01/2025!0,null,class-1
M1012,abdelrahman,abdo@example.com,7777,1993/07/07,1 month!04/15/2025!0,null,class-2;class-3
M1013,sara,sara@example.com,8888,1988/02/19,3 month!03/01/2025!1,accPic/M1013.jpg,
M1014,nour,nour@example.com,9999,1997/08/30,6 month!01/01/2025!1,null,
M1015,marwan,marwan@example.com,2468,1995/10/10,1 month!05/03/2025!0,null,class-4
M1016,fatma,fatma@example.com,1357,1999/03/03,3 month!04/10/2025!1,accPic/M1016.jpg,class-1!class-5
M1017,tarek,tarek@example.com,8642,1983/06/17,1 month!05/04/2025!0,null,class-2
M1018,hana,hana@example.com,9753,2001/01/01,3 month!04/12/2025!1,accPic/M1018.jpg,class-3
M1019,samy,samy@example.com,6543,1980/09/09,6 month!02/28/2025!0,null,
